kproj,M,probes,Recall@N,AF,QPS,tApprox
10,20,10,0,2.26652,19084,0.0524
10,20,15,0,2.26652,19841.3,0.0504
10,20,20,0,2.26652,21276.6,0.047
10,50,10,0,2.12481,11236,0.089
10,50,15,0,2.12481,9900.99,0.101
10,50,20,0,2.12481,9596.93,0.1042
10,100,10,0,1.82658,6142.51,0.1628
10,100,15,0,1.82658,6821.28,0.1466
10,100,20,0,1.82658,5903.19,0.1694
12,20,10,0,2.43693,18587.4,0.0538
12,20,15,0,2.43693,19685,0.0508
12,20,20,0,2.43693,15576.3,0.0642
12,50,10,0,1.90661,9727.63,0.1028
12,50,15,0,1.90661,10460.3,0.0956
12,50,20,0,1.90661,10775.9,0.0928
12,100,10,0.2,1.69345,4642.53,0.2154
12,100,15,0.2,1.69345,5636.98,0.1774
12,100,20,0.2,1.69345,5611.67,0.1782
14,20,10,0,2.18066,17301,0.0578
14,20,15,0,2.18066,17543.9,0.057
14,20,20,0,2.18066,17667.8,0.0566
14,50,10,0,1.97428,9920.63,0.1008
14,50,15,0,1.82586,8726,0.1146
14,50,20,0,1.82586,8635.58,0.1158
14,100,10,0,1.97428,11441.6,0.0874
14,100,15,0,1.65419,7235.89,0.1382
14,100,20,0,1.65419,5966.59,0.1676
