kclusters,nprobe,M,nbits,Recall@N,AF,QPS,tApprox
20,1,8,6,0,1.55448,6983.24,0.1432
20,1,8,8,0,1.45231,3785.01,0.2642
20,1,16,6,0.6,1.48981,5549.39,0.1802
20,1,16,8,0.6,1.3725,3556.19,0.2812
20,5,8,6,0,1.5359,1697.22,0.5892
20,5,8,8,0,1.37286,854.847,1.1698
20,5,16,6,0.6,1.38835,1288.99,0.7758
20,5,16,8,0.6,1.29749,776.036,1.2886
20,10,8,6,0,1.5359,900.09,1.111
20,10,8,8,0,1.37286,427.606,2.3386
20,10,16,6,0.6,1.38835,654.279,1.5284
20,10,16,8,0.6,1.29749,392.65,2.5468
50,1,8,6,0,1.54037,6868.13,0.1456
50,1,8,8,0.2,1.37243,3805.18,0.2628
50,1,16,6,0.2,1.46737,6172.84,0.162
50,1,16,8,0.2,1.38022,3646.97,0.2742
50,5,8,6,0,1.52438,2558.85,0.3908
50,5,8,8,0.2,1.37243,1029.44,0.9714
50,5,16,6,0.2,1.46737,2191.06,0.4564
50,5,16,8,0.2,1.38022,1020.62,0.9798
50,10,8,6,0,1.52438,1459.85,0.685
50,10,8,8,0.2,1.37243,561.482,1.781
50,10,16,6,0.2,1.46737,1203.95,0.8306
50,10,16,8,0.2,1.38022,535.848,1.8662
100,1,8,6,0,1.39706,5382.13,0.1858
100,1,8,8,0,1.42043,3313.45,0.3018
100,1,16,6,0,1.40998,5274.26,0.1896
100,1,16,8,0.2,1.32474,3311.26,0.302
100,5,8,6,0.2,1.396,2313.74,0.4322
100,5,8,8,0.4,1.40893,1010.92,0.9892
100,5,16,6,0,1.40998,2241.15,0.4462
100,5,16,8,0.2,1.30679,1010.1,0.99
100,10,8,6,0.2,1.396,1537.99,0.6502
100,10,8,8,0.4,1.40893,552.486,1.81
100,10,16,6,0,1.40998,1393.15,0.7178
100,10,16,8,0.2,1.30679,569.866,1.7548
